#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000086.1	778	1164	-	IncFIA(HI1)_1_HI1	2-388/388	===============	0/0	99.74	98.45	plasmidfinder	AF250878	IncFIA(HI1)_1_HI1_AF250878	
/home/nav/amr-mini-project/data/genomes/GCF_014946945.1_ASM1494694v1_genomic.fna	NZ_JADCQD010000027.1	37049	37275	+	IncFII_1_pKP91	10-230/230	========/======	2/6	96.09	88.55	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
/home/nav/amr-mini-project/data/genomes/GCF_014946945.1_ASM1494694v1_genomic.fna	NZ_JADCQD010000029.1	11638	12207	-	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100.00	99.47	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
/home/nav/amr-mini-project/data/genomes/GCF_014946945.1_ASM1494694v1_genomic.fna	NZ_JADCQD010000029.1	26998	27557	+	repB_KLEB_VIR	1-560/560	===============	0/0	100.00	99.82	plasmidfinder	AP006726	repB_KLEB_VIR_AP006726	
/home/nav/amr-mini-project/data/genomes/GCF_014946945.1_ASM1494694v1_genomic.fna	NZ_JADCQD010000032.1	18017	18402	-	IncFIA(HI1)_1_HI1	3-388/388	===============	0/0	99.48	94.56	plasmidfinder	AF250878	IncFIA(HI1)_1_HI1_AF250878	
/home/nav/amr-mini-project/data/genomes/GCF_014946945.1_ASM1494694v1_genomic.fna	NZ_JADCQD010000046.1	3254	3533	-	ColKP3_1	1-280/280	===============	0/0	100.00	100.00	plasmidfinder	JN205800	ColKP3_1__JN205800	
/home/nav/amr-mini-project/data/genomes/GCF_014946945.1_ASM1494694v1_genomic.fna	NZ_JADCQD010000052.1	2490	2619	-	Col(pHAD28)_1	1-131/131	========/======	1/1	99.24	93.13	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
/home/nav/amr-mini-project/data/genomes/GCF_022869665.1_ASM2286966v1_genomic.fna	NZ_CP064369.1	4545	4674	-	ColRNAI_1	1-130/130	===============	0/0	100.00	98.46	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/nav/amr-mini-project/data/genomes/GCF_022869665.1_ASM2286966v1_genomic.fna	NZ_CP064370.1	25080	25701	-	pSM22_1	1-623/623	========/======	1/1	99.84	93.74	plasmidfinder	NC_015972	pSM22_1__NC_015972	
/home/nav/amr-mini-project/data/genomes/GCF_022869665.1_ASM2286966v1_genomic.fna	NZ_CP064370.1	41435	41694	+	IncFII(pCoo)_1_pCoo	1-262/262	========/======	2/4	98.85	95.06	plasmidfinder	CR942285	IncFII(pCoo)_1_pCoo_CR942285	
/home/nav/amr-mini-project/data/genomes/GCF_022869665.1_ASM2286966v1_genomic.fna	NZ_CP064371.1	39979	40366	-	IncFIA(HI1)_1_HI1	1-388/388	===============	0/0	100.00	96.65	plasmidfinder	AF250878	IncFIA(HI1)_1_HI1_AF250878	
/home/nav/amr-mini-project/data/genomes/GCF_022869665.1_ASM2286966v1_genomic.fna	NZ_CP064371.1	88733	89292	-	repB_KLEB_VIR	1-560/560	===============	0/0	100.00	100.00	plasmidfinder	AP006726	repB_KLEB_VIR_AP006726	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000022.1	26025	26441	+	IncA/C2_1	1-417/417	===============	0/0	100.00	100.00	plasmidfinder	JN157804	IncA/C2_1__JN157804	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000023.1	13399	13786	+	IncFIA_1	1-388/388	===============	0/0	100.00	99.74	plasmidfinder	AP001918	IncFIA_1__AP001918	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000026.1	28897	29636	-	IncFIB(pQil)_1_pQil	1-740/740	===============	0/0	100.00	100.00	plasmidfinder	JN233705	IncFIB(pQil)_1_pQil_JN233705	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000031.1	14064	14686	-	repB(R1701)_1	1-623/623	===============	0/0	100.00	99.20	plasmidfinder	CP039970	repB(R1701)_1__CP039970	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000032.1	2057	2492	-	IncFII(pAR0022)_1	7-442/442	===============	0/0	98.64	81.42	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000032.1	2526	2764	-	IncFII_1_pKP91	1-230/230	========/======	4/9	100.00	87.87	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000038.1	1868	2549	+	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	97.65	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000043.1	2596	2875	+	ColKP3_1	1-280/280	===============	0/0	100.00	100.00	plasmidfinder	JN205800	ColKP3_1__JN205800	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000047.1	500	630	+	Col(pHAD28)_1	1-131/131	===============	0/0	100.00	92.37	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000047.1	4893	5174	+	Col440II_1	1-282/282	===============	0/0	100.00	100.00	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
/home/nav/amr-mini-project/data/genomes/GCF_023546055.1_ASM2354605v1_genomic.fna	NZ_JAKIME010000052.1	4355	4468	+	Col440I_1	1-114/114	===============	0/0	100.00	100.00	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
